"Map","Name","DeleteGuid","KeepGuid","Entry","X","Y","Z","ClusterSize","DeleteInBaseline","KeepInBaseline"
"859","Boulder Target","335903","219213","52352","-12125.9","-1827.86","81.24","2","0","1"
"859","Briney Boltcutter","335918","218899","53043","-11945.8","-1259.57","85.2","2","0","1"
"859","Chosen of Hethiss","335842","219139","52323","-11957.4","-1750.85","54.03","2","0","1"
"859","Chosen of Hethiss","336027","219132","52323","-11974.1","-1743.49","53.28","2","0","1"
"859","Chosen of Hethiss","336086","219141","52323","-11960.9","-1756.03","53.89","2","0","1"
"859","Chosen of Hethiss","336142","219136","52323","-11963.8","-1749.5","53.49","2","0","1"
"859","Chosen of Hethiss","336297","219140","52323","-11966.1","-1755.18","53.54","2","0","1"
"859","Chosen of Hethiss","336328","219135","52323","-11978.7","-1747.91","53.09","2","0","1"
"859","Chosen of Hethiss","336339","219133","52323","-11960.5","-1742.84","52.78","2","0","1"
"859","Chosen of Hethiss","336369","219134","52323","-11968.6","-1745.58","52.96","2","0","1"
"859","Chosen of Hethiss","336414","219157","52323","-11958.5","-1761.61","53.72","2","0","1"
"859","Chosen of Hethiss","336421","219137","52323","-11970.3","-1751.85","53.11","2","0","1"
"859","Chosen of Hethiss","336427","219138","52323","-11975.4","-1754.05","52.77","2","0","1"
"859","Curious Jungle Monkey","335562","219647","52441","-11511.4","-1529.93","61.27","2","0","1"
"859","Curious Jungle Monkey","335563","219251","52441","-12411.6","-1880.8","152.94","2","0","1"
"859","Curious Jungle Monkey","336429","219200","52441","-12043.7","-1792.27","72.01","2","0","1"
"859","Florawing Hive Queen","335666","218923","52442","-11782.1","-1279.99","64.29","2","0","1"
"859","General Purpose Bunny JMF","219068","219066","45979","-11962.6","-1643.24","37.55","3","1","1"
"859","General Purpose Bunny JMF","335539","219104","45979","-12032.1","-1700.49","39.4","2","0","1"
"859","General Purpose Bunny JMF","335540","219093","45979","-12031.2","-1686.85","39.49","2","0","1"
"859","General Purpose Bunny JMF","335541","219107","45979","-12038.1","-1698.08","47.81","2","0","1"
"859","General Purpose Bunny JMF","335542","219085","45979","-12034.4","-1671.43","39.7","2","0","1"
"859","General Purpose Bunny JMF","335543","219092","45979","-12017","-1697.56","37.91","2","0","1"
"859","General Purpose Bunny JMF","335544","219118","45979","-12019.1","-1724.89","39.63","2","0","1"
"859","General Purpose Bunny JMF","335545","219105","45979","-12027.9","-1705.49","39.4","2","0","1"
"859","General Purpose Bunny JMF","335546","219084","45979","-11967.3","-1694.63","34.37","2","0","1"
"859","General Purpose Bunny JMF","335547","219117","45979","-12031.1","-1717.54","39.78","2","0","1"
"859","General Purpose Bunny JMF","335548","219103","45979","-11983.2","-1719.93","42.9","2","0","1"
"859","General Purpose Bunny JMF","335569","219263","45979","-11880.5","-1880.66","64.05","2","0","1"
"859","General Purpose Bunny JMF","335663","219029","45979","-11852.2","-1499.59","8.8","2","0","1"
"859","General Purpose Bunny JMF","335823","219083","45979","-12025.1","-1666.8","41.47","2","0","1"
"859","General Purpose Bunny JMF","335824","219087","45979","-12021.8","-1688.28","43.45","2","0","1"
"859","General Purpose Bunny JMF","335825","219088","45979","-12013.7","-1695.36","34.8","2","0","1"
"859","General Purpose Bunny JMF","335826","219099","45979","-12022.3","-1700.57","39.5","2","0","1"
"859","General Purpose Bunny JMF","335827","219116","45979","-12024.7","-1720.48","47.76","2","0","1"
"859","General Purpose Bunny JMF","335828","219098","45979","-12011","-1705.97","43.48","2","0","1"
"859","General Purpose Bunny JMF","335829","219110","45979","-12026.2","-1712.13","39.4","2","0","1"
"859","General Purpose Bunny JMF","335830","219112","45979","-12037.2","-1705.58","40.36","2","0","1"
"859","General Purpose Bunny JMF","335831","219102","45979","-12037.2","-1694.58","39.35","2","0","1"
"859","General Purpose Bunny JMF","335847","219036","45979","-11936.1","-1543.46","44.65","2","0","1"
"859","General Purpose Bunny JMF","335947","219113","45979","-12021.6","-1718.47","39.34","2","0","1"
"859","General Purpose Bunny JMF","335948","219101","45979","-12019","-1707.24","39.46","2","0","1"
"859","General Purpose Bunny JMF","335949","219095","45979","-12027.5","-1693.6","39.46","2","0","1"
"859","General Purpose Bunny JMF","335950","219114","45979","-12000.8","-1727.63","39.42","2","0","1"
"859","General Purpose Bunny JMF","335951","219111","45979","-12005.5","-1722.99","39.44","2","0","1"
"859","General Purpose Bunny JMF","335952","219086","45979","-12010.5","-1693.47","32.37","2","0","1"
"859","General Purpose Bunny JMF","335953","219106","45979","-12015.8","-1713.22","39.37","2","0","1"
"859","General Purpose Bunny JMF","335954","219091","45979","-12036.9","-1678.58","39.4","2","0","1"
"859","General Purpose Bunny JMF","335955","219115","45979","-12013.6","-1723.38","39.4","2","0","1"
"859","General Purpose Bunny JMF","335956","219097","45979","-12037","-1686.64","39.4","2","0","1"
"859","General Purpose Bunny JMF","335992","219047","45979","-11858.2","-1510.84","8.1","2","0","1"
"859","General Purpose Bunny JMF","335994","219030","45979","-11869.5","-1504.78","8.93","2","0","1"
"859","General Purpose Bunny JMF","336083","218913","45979","-11885.7","-1319.8","78.64","2","0","1"
"859","General Purpose Bunny JMF","336190","219034","45979","-11953.8","-1540.96","44.95","2","0","1"
"859","General Purpose Bunny JMF","336193","218953","45979","-11873.7","-1346.76","86.93","2","0","1"
"859","General Purpose Bunny JMF","336235","219066","45979","-11962.6","-1643.23","37.56","3","0","1"
"859","General Purpose Bunny JMF","336326","218929","45979","-11895.1","-1346.48","85.17","2","0","1"
"859","Generic Bunny - PRK - Extra-Small","335667","219248","46464","-12375.8","-1915.58","130.93","2","0","1"
"859","Generic Bunny - PRK - Extra-Small","335668","219250","46464","-12383.9","-1912.54","130.94","2","0","1"
"859","Gub","337907","219009","52440","-11856.8","-1524.41","20.09","2","0","1"
"859","Gurubashi Berserker","335523","219701","52077","-11616.9","-1344.29","77.81","2","0","1"
"859","Gurubashi Berserker","335524","219700","52077","-11603.5","-1348.46","78.5","2","0","1"
"859","Gurubashi Berserker","335529","219446","52077","-11635.4","-1617.14","40.25","2","0","1"
"859","Gurubashi Blood Drinker","335943","219626","52325","-11495.4","-1592.14","52.71","2","0","1"
"859","Gurubashi Blood Drinker","335944","219633","52325","-11486.8","-1592.93","52.71","2","0","1"
"859","Gurubashi Blood Drinker","336018","219555","52325","-11540.1","-1590.74","74.51","2","0","1"
"859","Gurubashi Blood Drinker","336174","219618","52325","-11492.1","-1645.01","74.51","2","0","1"
"859","Gurubashi Blood Drinker","336175","219630","52325","-11488.7","-1650.83","74.51","2","0","1"
"859","Gurubashi Blood Drinker","336178","219631","52325","-11485.5","-1599.48","74.51","2","0","1"
"859","Gurubashi Blood Drinker","336179","219634","52325","-11481.7","-1594.21","74.51","2","0","1"
"859","Gurubashi Blood Drinker","336293","219560","52325","-11533.5","-1592.14","74.51","2","0","1"
"859","Gurubashi Cauldron-Mixer","335526","219673","52081","-11652.7","-1451.46","59.57","2","0","1"
"859","Gurubashi Cauldron-Mixer","335709","219239","52088","-12375.3","-1825.93","130.87","2","0","1"
"859","Gurubashi Cauldron-Mixer","335713","219221","52076","-12296.8","-1833.62","130.4","2","0","1"
"859","Gurubashi Cauldron-Mixer","335803","219562","52082","-11646","-1553.07","40.32","2","0","1"
"859","Gurubashi Refugee","335743","219441","52436","-11572","-1741.99","38.45","2","0","1"
"859","Gurubashi Refugee","335745","219358","52436","-11686.8","-1830.98","40.57","2","0","1"
"859","Gurubashi Refugee","335923","219336","52437","-11753","-1899.16","55.92","2","0","1"
"859","Gurubashi Refugee","335927","219414","52436","-11603.8","-1784.01","40.78","2","0","1"
"859","Gurubashi Refugee","336009","219417","52436","-11683.5","-1763.91","12.88","2","0","1"
"859","Gurubashi Refugee","336011","219319","52437","-11760.6","-1898.44","56.19","2","0","1"
"859","Gurubashi Refugee","336013","219356","52436","-11689.2","-1827.84","40.58","2","0","1"
"859","Gurubashi Refugee","336064","219406","52437","-11605.6","-1840.66","43.44","2","0","1"
"859","Gurubashi Refugee","336068","219361","52436","-11697.9","-1899.24","55.53","2","0","1"
"859","Gurubashi Refugee","336112","219442","52436","-11574.3","-1738.73","38.59","2","0","1"
"859","Gurubashi Refugee","336117","219399","52436","-11636.5","-1825.23","40.54","2","0","1"
"859","Gurubashi Refugee","336170","219465","52437","-11566.8","-1727.86","39.57","2","0","1"
"859","Gurubashi Refugee","336276","219431","52436","-11596.3","-1754.85","39.51","2","0","1"
"859","Gurubashi Refugee","336284","219321","52436","-11758","-1894.09","55.91","2","0","1"
"859","Gurubashi Refugee","336285","219365","52437","-11669.3","-1855.14","40.56","2","0","1"
"859","Gurubashi Refugee","336304","219410","52436","-11605.8","-1798.99","40.66","2","0","1"
"859","Gurubashi Refugee","337795","219293","52436","-11813.7","-1832.89","50.01","2","0","1"
"859","Gurubashi Refugee","337996","219408","52437","-11605.1","-1803.14","40.66","2","0","1"
"859","Gurubashi Refugee","338089","219415","52437","-11605.1","-1781.64","40.78","2","0","1"
"859","Gurubashi Refugee","338115","219300","52437","-11789.8","-1884.19","46.57","2","0","1"
"859","Gurubashi Refugee","338120","219291","52437","-11805.3","-1881.04","45.56","2","0","1"
"859","Gurubashi Refugee","338139","219289","52437","-11805","-1885.35","46.03","2","0","1"
"859","Gurubashi Refugee","338142","219440","52436","-11600.8","-1723.79","39.06","2","0","1"
"859","Gurubashi Refugee","338171","219439","52437","-11578.9","-1742.55","38.74","2","0","1"
"859","Gurubashi Refugee","338974","219401","52436","-11612.5","-1838.12","59.48","2","0","1"
"859","Gurubashi Shadow Hunter","335933","219518","52327","-11534.7","-1653.95","74.51","2","0","1"
"859","Gurubashi Shadow Hunter","335942","219620","52327","-11496.6","-1598.93","52.72","2","0","1"
"859","Gurubashi Shadow Hunter","336023","219625","52327","-11504","-1666.8","74.51","2","0","1"
"859","Gurubashi Shadow Hunter","336024","219617","52327","-11516.2","-1666.81","74.51","2","0","1"
"859","Gurubashi Shadow Hunter","336130","219501","52327","-11548.8","-1659.05","63.62","2","0","1"
"859","Gurubashi Shadow Hunter","336173","219636","52327","-11480.5","-1648.11","74.51","2","0","1"
"859","Gurubashi Shadow Hunter","336177","219628","52327","-11490.9","-1590.48","74.51","2","0","1"
"859","Gurubashi Shadow Hunter","336221","219627","52327","-11506.1","-1574.15","74.51","2","0","1"
"859","Gurubashi Shadow Hunter","336222","219619","52327","-11514.4","-1574.17","74.51","2","0","1"
"859","Gurubashi Shadow Hunter","336225","219551","52327","-11547.8","-1582.7","63.62","2","0","1"
"859","Gurubashi Soul-Eater","335804","219579","52598","-11656.4","-1546.38","40.14","2","0","1"
"859","Gurubashi Villager","335742","219367","52435","-11697.1","-1788.61","12.47","2","0","1"
"859","Gurubashi Villager","335744","219347","52434","-11749.8","-1910.53","56.09","2","0","1"
"859","Gurubashi Villager","335747","219354","52434","-11733.5","-1913.11","56.41","2","0","1"
"859","Gurubashi Villager","335748","219342","52434","-11714.5","-1859.49","41.45","2","0","1"
"859","Gurubashi Villager","335751","219346","52435","-11731.4","-1903.15","57.46","2","0","1"
"859","Gurubashi Villager","335921","219348","52434","-11728.8","-1904.35","57.51","2","0","1"
"859","Gurubashi Villager","335925","219357","52435","-11708.3","-1902.84","56.28","2","0","1"
"859","Gurubashi Villager","335928","219424","52435","-11611.5","-1757.36","38.82","2","0","1"
"859","Gurubashi Villager","335929","219331","52434","-11765.1","-1838.16","42.84","2","0","1"
"859","Gurubashi Villager","336012","219426","52434","-11607.8","-1758.59","38.83","2","0","1"
"859","Gurubashi Villager","336118","219308","52434","-11809.4","-1795.3","51.93","2","0","1"
"859","Gurubashi Villager","336119","219349","52434","-11722.9","-1901.44","56.06","2","0","1"
"859","Gurubashi Villager","336121","219310","52435","-11791.5","-1823.32","51.02","2","0","1"
"859","Gurubashi Villager","336171","219320","52434","-11757.9","-1884.82","55.83","2","0","1"
"859","Gurubashi Villager","336209","219444","52434","-11558.5","-1752.64","39.89","2","0","1"
"859","Gurubashi Villager","336214","219396","52434","-11625","-1814.13","40.53","2","0","1"
"859","Gurubashi Villager","336215","219437","52435","-11596","-1736.16","42.41","2","0","1"
"859","Gurubashi Villager","336245","219420","52435","-11597.3","-1771.82","43.47","2","0","1"
"859","Gurubashi Villager","336250","219395","52435","-11636.8","-1839.68","44.18","2","0","1"
"859","Gurubashi Villager","336251","219285","52434","-11820.8","-1861.42","52.03","2","0","1"
"859","Gurubashi Villager","336252","219296","52435","-11794.8","-1868.65","49.56","2","0","1"
"859","Gurubashi Villager","336253","219368","52434","-11700.8","-1784.69","12.33","2","0","1"
"859","Gurubashi Villager","336254","219398","52435","-11617.3","-1830.94","59.48","2","0","1"
"859","Gurubashi Villager","336280","219378","52435","-11702","-1768.01","11.73","2","0","1"
"859","Gurubashi Villager","336282","219351","52435","-11749.5","-1914.6","55.91","2","0","1"
"859","Gurubashi Villager","336311","219338","52434","-11717.6","-1859.39","41.48","2","0","1"
"859","Gurubashi Villager","337791","219421","52435","-11611.3","-1761.02","38.82","2","0","1"
"859","Gurubashi Villager","337792","219299","52434","-11794.7","-1897.59","51.3","2","0","1"
"859","Gurubashi Villager","337793","219374","52434","-11657.5","-1852.04","41.73","2","0","1"
"859","Gurubashi Villager","337927","219363","52435","-11699.7","-1909.01","56.23","2","0","1"
"859","Gurubashi Villager","337928","219397","52434","-11644.8","-1816.41","40.54","2","0","1"
"859","Gurubashi Villager","337997","219419","52435","-11600.2","-1770.3","43.47","2","0","1"
"859","Gurubashi Villager","338058","219390","52435","-11643.7","-1813.01","40.61","2","0","1"
"859","Gurubashi Villager","338060","219328","52434","-11742.4","-1859.79","41.84","2","0","1"
"859","Gurubashi Villager","338086","219335","52434","-11763.3","-1913.36","57.65","2","0","1"
"859","Gurubashi Villager","338088","219334","52434","-11740.1","-1882.91","55.65","2","0","1"
"859","Gurubashi Villager","338090","219322","52435","-11750.6","-1880.7","55.02","2","0","1"
"859","Gurubashi Villager","338117","219432","52435","-11624","-1740.03","38.91","2","0","1"
"859","Gurubashi Villager","338119","219359","52434","-11748.2","-1925.55","57.61","2","0","1"
"859","Gurubashi Villager","338140","219434","52435","-11590.4","-1745.57","39.57","2","0","1"
"859","Gurubashi Villager","338153","219492","52435","-11534","-1725.85","39.01","2","0","1"
"859","Gurubashi Villager","338154","219297","52435","-11792","-1868.19","49.56","2","0","1"
"859","Gurubashi Villager","338156","219353","52435","-11701.8","-1816.54","41.3","2","0","1"
"859","Gurubashi Villager","338158","219435","52435","-11594.9","-1738.81","42.41","2","0","1"
"859","Gurubashi Villager","338159","219315","52435","-11778.1","-1839.24","46.11","2","0","1"
"859","Gurubashi Villager","338170","219341","52434","-11761.2","-1915.52","57.65","2","0","1"
"859","Gurubashi Villager","338172","219429","52435","-11625.5","-1742.91","39.05","2","0","1"
"859","Gurubashi Villager","338173","219379","52435","-11720.5","-1947.93","57.49","2","0","1"
"859","Gurubashi Warmonger","335527","219676","52606","-11652.5","-1440.21","59.15","2","0","1"
"859","Gurubashi Warmonger","335703","219229","52606","-12334","-1856.88","130.38","2","0","1"
"859","Gurubashi Warmonger","335704","219216","52606","-12257.1","-1849.39","131.86","2","0","1"
"859","Gurubashi Warmonger","335705","219230","52606","-12329.1","-1861.4","130.34","2","0","1"
"859","Gurubashi Warmonger","335708","219238","52606","-12369.7","-1819.31","130.34","2","0","1"
"859","Gurubashi Warmonger","335712","219220","52606","-12305.2","-1828.46","130.36","2","0","1"
"859","Gurubashi Worker","335568","219033","52089","-11979.2","-1533.84","46.76","2","0","1"
"859","Gurubashi Worker","335659","219165","52089","-12021.1","-1778.07","58.3","2","0","1"
"859","Gurubashi Worker","335660","219207","52089","-12114.1","-1793.1","80.43","2","0","1"
"859","Gurubashi Worker","335661","219205","52089","-12120.8","-1779.32","80.33","2","0","1"
"859","Gurubashi Worker","335662","219152","52089","-12014.2","-1769.21","56.2","2","0","1"
"859","Gurubashi Worker","335844","219652","52089","-11534.2","-1499.93","77.95","2","0","1"
"859","Gurubashi Worker","335893","219154","52089","-12001.2","-1777.61","59.4","2","0","1"
"859","Gurubashi Worker","335896","219155","52089","-12012.1","-1775.42","57.22","2","0","1"
"859","Gurubashi Worker","335897","219204","52089","-12114.4","-1783.05","80.43","2","0","1"
"859","Gurubashi Worker","335957","219043","52089","-11887.7","-1527.29","22.91","2","0","1"
"859","Gurubashi Worker","335958","219608","52089","-11661.4","-1526.06","39.79","2","0","1"
"859","Gurubashi Worker","335964","219339","52089","-11715.1","-1838.19","41.17","2","0","1"
"859","Gurubashi Worker","335991","219209","52089","-12118.6","-1795.01","80.27","2","0","1"
"859","Gurubashi Worker","335993","219206","52089","-12125.1","-1783.82","80.81","2","0","1"
"859","Gurubashi Worker","336033","219063","52089","-11949","-1634.16","39.25","2","0","1"
"859","Gurubashi Worker","336034","219035","52089","-11967.2","-1524.11","41.85","2","0","1"
"859","Gurubashi Worker","336051","219153","52089","-12005","-1769.79","58.94","2","0","1"
"859","Gurubashi Worker","336134","219226","52089","-12300","-1807.47","131.22","2","0","1"
"859","Gurubashi Worker","336233","219699","52089","-11538.3","-1477.26","72.71","2","0","1"
"859","Gurubashi Worker","336295","219223","52089","-12273.2","-1837.1","131.57","2","0","1"
"859","Gurubashi Worker","336325","219219","52089","-12287.8","-1871.96","131.56","2","0","1"
"859","Gurubashi Worker","336337","219698","52089","-11676.8","-1416.96","59.68","2","0","1"
"859","Gurubashi Worker","336343","219042","52089","-11973.9","-1560.23","40.28","2","0","1"
"859","Gurubashi Worker","336367","218986","52089","-11825","-1321.11","66.36","2","0","1"
"859","Gurubashi Worker","336371","219242","52089","-12372.8","-1848.16","130.64","2","0","1"
"859","Gurubashi Worker","336385","219142","52089","-11939","-1732.85","52.35","2","0","1"
"859","Gurubashi Worker","336389","219146","52089","-11943.1","-1749.59","53.09","2","0","1"
"859","Gurubashi Worker","336390","219058","52089","-11995.3","-1612.13","36.89","2","0","1"
"859","Gurubashi Worker","336415","219217","52089","-12253.9","-1835.57","131.92","2","0","1"
"859","Gurubashi Worker","336420","219064","52089","-11942.1","-1640.84","42.61","2","0","1"
"859","Hakkari Witch Doctor","335520","219600","52086","-11598.7","-1513.12","47.56","2","0","1"
"859","Hakkari Witch Doctor","335522","219678","52086","-11609.6","-1417.79","62.9","2","0","1"
"859","Hakkari Witch Doctor","335525","219663","52086","-11594.6","-1498.68","50.82","2","0","1"
"859","Hakkari Witch Doctor","337948","219677","52086","-11617.6","-1416.86","61.76","2","0","1"
"859","Hazza'rah","373931","219298","52271","-11880.5","-1881.07","64.05","2","0","1"
"859","Jin'do the Godbreaker","337778","219060","52148","-11788.2","-1650.07","54.05","2","0","1"
"859","Kaulema the Mover","335900","219120","52422","-12116.8","-1749.48","80.16","2","0","1"
"859","Lesser Priest of Bethekk","335936","219520","52339","-11533.5","-1646.36","74.51","2","0","1"
"859","Lesser Priest of Bethekk","335945","219632","52339","-11487.2","-1599.63","52.72","2","0","1"
"859","Lesser Priest of Bethekk","336019","219554","52339","-11534.4","-1597.08","74.51","2","0","1"
"859","Lesser Priest of Bethekk","336176","219624","52339","-11486.4","-1641.09","74.51","2","0","1"
"859","Mor'Lek the Dismantler","336047","219119","52405","-12012.8","-1805.31","57.71","2","0","1"
"859","Mortaxx","335986","219302","52438","-11701.2","-1939.76","55.91","2","0","1"
"859","Mutated Overgrowth","335959","218928","52331","-11922.1","-1338.45","78.44","2","0","1"
"859","Mutated Overgrowth","335960","218961","52331","-11870.8","-1359.64","71.65","2","0","1"
"859","Mutated Overgrowth","336028","218989","52331","-11870.2","-1398.18","64.73","2","0","1"
"859","Mutated Overgrowth","336029","218963","52331","-11880.2","-1364.53","70.22","2","0","1"
"859","Mutated Overgrowth","336035","218960","52331","-11919.6","-1373.58","78.73","2","0","1"
"859","Mutated Overgrowth","336085","218920","52331","-11913.1","-1351.06","81.62","2","0","1"
"859","Mutated Overgrowth","336137","219004","52331","-11923.7","-1431.86","46.24","2","0","1"
"859","Mutated Overgrowth","336141","218980","52331","-11895.5","-1377.74","68.84","2","0","1"
"859","Mutated Overgrowth","336267","219000","52331","-11908.1","-1420.48","52.02","2","0","1"
"859","Mutated Overgrowth","336296","219003","52331","-11879.3","-1416.13","61.51","2","0","1"
"859","Mutated Overgrowth","336300","219001","52331","-11869.4","-1409.72","63.18","2","0","1"
"859","Mutated Overgrowth","336322","218976","52331","-11867.6","-1388.03","67.14","2","0","1"
"859","Mutated Overgrowth","336323","218990","52331","-11889.4","-1398.55","63.46","2","0","1"
"859","Mutated Overgrowth","336324","218964","52331","-11889.1","-1353.65","72.85","2","0","1"
"859","Mutated Overgrowth","336330","218971","52331","-11889.2","-1374.81","68.4","2","0","1"
"859","Mutated Overgrowth","336332","218970","52331","-11907.8","-1376.75","69.06","2","0","1"
"859","Mutated Overgrowth","336333","218992","52331","-11914.6","-1407.9","59.45","2","0","1"
"859","Mutated Overgrowth","336345","218982","52331","-11874.9","-1379.12","68.5","2","0","1"
"859","Mutated Overgrowth","336366","218966","52331","-11862.2","-1353.51","68.5","2","0","1"
"859","Mutated Overgrowth","336380","218962","52331","-11920.3","-1362.6","81.63","2","0","1"
"859","Mutated Overgrowth","336392","218974","52331","-11886","-1388.36","65.34","2","0","1"
"859","Mutated Overgrowth","336393","219006","52331","-11907.5","-1432.79","49.09","2","0","1"
"859","Mutated Overgrowth","336402","218999","52331","-11920.4","-1418.03","54.95","2","0","1"
"859","Mutated Overgrowth","336403","218916","52331","-11873","-1333.92","77.23","2","0","1"
"859","Mutated Overgrowth","336405","218975","52331","-11897.9","-1390.13","66.44","2","0","1"
"859","Mutated Overgrowth","336413","218978","52331","-11933.5","-1395.15","80.4","2","0","1"
"859","Mutated Overgrowth","336417","218985","52331","-11861.1","-1370.49","71.27","2","0","1"
"859","Mutated Overgrowth","336422","219007","52331","-11900.9","-1412.93","56.24","2","0","1"
"859","Mutated Overgrowth","336426","218959","52331","-11904.5","-1367.23","70.22","2","0","1"
"859","Pride of Bethekk","335935","219515","52345","-11538.7","-1645.51","74.51","2","0","1"
"859","Pride of Bethekk","335946","219623","52345","-11490.8","-1603.6","52.72","2","0","1"
"859","Purple Ground Rune","335895","219385","52439","-11658.2","-1896.31","77.36","2","0","1"
"859","Purple Ground Rune","337910","219380","52439","-11701.3","-1939.71","55.91","2","0","1"
"859","Ritual Tiki Mask","335475","219182","52364","-11868.6","-1873.75","63.59","2","0","1"
"859","Ritual Tiki Mask","335476","219188","52364","-11878.2","-1884.07","63.91","2","0","1"
"859","Ritual Tiki Mask","335479","219171","52364","-11882.7","-1865.77","63.59","2","0","1"
"859","Ritual Tiki Mask","335480","219184","52364","-11884.5","-1882.62","63.86","2","0","1"
"859","Ritual Tiki Mask","335482","219168","52364","-11886.3","-1868.93","63.59","2","0","1"
"859","Ritual Tiki Mask","335483","219187","52364","-11872.4","-1883.23","63.65","2","0","1"
"859","Ritual Tiki Mask","335484","219181","52364","-11887.7","-1877.32","63.63","2","0","1"
"859","Ritual Tiki Mask","335772","219179","52364","-11870.1","-1869.21","63.59","2","0","1"
"859","Ritual Tiki Mask","335774","219174","52364","-11874","-1865.77","63.59","2","0","1"
"859","Ritual Tiki Mask","335775","219189","52364","-11868.1","-1878.99","63.59","2","0","1"
"859","Ritual Tiki Mask","335776","219170","52364","-11878.6","-1865.49","63.59","2","0","1"
"859","Ritual Tiki Mask","335777","219172","52364","-11887.6","-1872.33","63.59","2","0","1"
"859","Siame-Quashi","335726","218903","53022","-11876.7","-1282.91","85.22","2","0","1"
"859","Siame-Quashi","335730","218901","53022","-11944.6","-1283.6","85.22","2","0","1"
"859","Siame-Quashi","335731","218898","53022","-11896.1","-1274.47","85.22","2","0","1"
"859","Siame-Quashi","335732","218896","53022","-11901.6","-1274.76","85.22","2","0","1"
"859","Siame-Quashi","335916","218890","53022","-11920.8","-1260.32","93.58","2","0","1"
"859","Spirit Portal","335680","218828","52532","-11751.9","-1662.83","53.08","2","0","1"
"859","Spirit Portal","335681","218829","52532","-11764.7","-1636.48","52.99","2","0","1"
"859","Spirit Portal","335682","218830","52532","-11752.4","-1645.15","52.88","2","0","1"
"859","Spirit Portal","335683","218831","52532","-11756.9","-1680.79","53.08","2","0","1"
"859","Spirit Portal","335684","218846","52532","-11750","-1631.24","52.89","2","0","1"
"859","Spirit Portal","335690","218823","52532","-11823.3","-1665.2","53.08","2","0","1"
"859","Spirit Portal","335691","218844","52532","-11827.6","-1634.12","52.93","2","0","1"
"859","Spirit Portal","335692","218825","52532","-11823.6","-1647.46","52.88","2","0","1"
"859","Spirit Portal","335693","218826","52532","-11817","-1682.87","53.08","2","0","1"
"859","Spirit Portal","335694","218815","52532","-11811.9","-1637.99","53","2","0","1"
"859","Spirit Portal","335696","218836","52532","-11805.7","-1664.72","53.06","2","0","1"
"859","Spirit Portal","335697","218816","52532","-11793.9","-1646.39","54.63","2","0","1"
"859","Spirit Portal","335698","218817","52532","-11782.1","-1646.38","54.56","2","0","1"
"859","Spirit Portal","335699","218818","52532","-11769.5","-1663.59","53.06","2","0","1"
"859","Spirit Portal","335700","218819","52532","-11788.6","-1628.26","54.86","2","0","1"
"859","Summon Enabler Stalker","335758","218889","53488","-11916.1","-1238.28","92.37","2","0","1"
"859","Summon Enabler Stalker","335759","218888","53488","-11915.7","-1273.87","91.82","2","0","1"
"859","Tangled Vine","335463","219570","52306","-11555.4","-1553.66","52.53","2","0","1"
"859","Tangled Vine","335464","219463","52306","-11586.6","-1682.06","50.54","2","0","1"
"859","Tangled Vine","335465","219493","52306","-11579.2","-1654.94","51.72","2","0","1"
